Latitude,Longitude,Survey,Year,Community,Province,Result,traps
48.40707,-123.53671,Gypsy Moth,2017,METCHOSIN,BRITISH COLUMBIA,Not Detected,0
48.40747,-123.35187,Gypsy Moth,2017,VICTORIA,BRITISH COLUMBIA,Not Detected,0
48.40772,-123.48593,Gypsy Moth,2017,COLWOOD,BRITISH COLUMBIA,Not Detected,0
48.40886,-123.33147,Gypsy Moth,2017,VICTORIA,BRITISH COLUMBIA,Not Detected,0
48.40982,-123.37172,Gypsy Moth,2017,VICTORIA,BRITISH COLUMBIA,Not Detected,0
48.41034,-123.30514,Gypsy Moth,2017,OAK BAY,BRITISH COLUMBIA,Not Detected,0
48.41052,-123.70802,Gypsy Moth,2017,SOOKE,BRITISH COLUMBIA,Not Detected,0
48.41418,-123.58564,Gypsy Moth,2017,METCHOSIN,BRITISH COLUMBIA,Not Detected,0
48.41739,-123.53323,Gypsy Moth,2017,LANGFORD,BRITISH COLUMBIA,Not Detected,0
48.41764,-123.48988,Gypsy Moth,2017,COLWOOD,BRITISH COLUMBIA,Not Detected,0
48.41801,-123.47179,Gypsy Moth,2017,COLWOOD,BRITISH COLUMBIA,Not Detected,0
48.41803,-123.51171,Gypsy Moth,2017,COLWOOD,BRITISH COLUMBIA,Not Detected,0
48.4207,-124.04472,Gypsy Moth,2017,CAPITAL REGIONAL DISTRICT,BRITISH COLUMBIA,Not Detected,0
48.42102,-123.39814,Gypsy Moth,2017,ESQUIMALT,BRITISH COLUMBIA,Not Detected,0
48.42136,-123.56527,Gypsy Moth,2017,METCHOSIN,BRITISH COLUMBIA,Not Detected,0
48.42169,-123.30657,Gypsy Moth,2017,OAK BAY,BRITISH COLUMBIA,Not Detected,0
48.42177,-123.35143,Gypsy Moth,2017,VICTORIA,BRITISH COLUMBIA,Not Detected,0
48.42196,-123.32941,Gypsy Moth,2017,VICTORIA,BRITISH COLUMBIA,Not Detected,0
48.42208,-123.41891,Gypsy Moth,2017,ESQUIMALT,BRITISH COLUMBIA,Not Detected,0
48.42226,-123.37518,Gypsy Moth,2017,VICTORIA,BRITISH COLUMBIA,Not Detected,0
48.42422,-123.41855,Gypsy Moth,2017,ESQUIMALT,BRITISH COLUMBIA,Not Detected,0
48.43084,-123.56892,Gypsy Moth,2017,LANGFORD,BRITISH COLUMBIA,Not Detected,0
48.43116,-123.46911,Gypsy Moth,2017,COLWOOD,BRITISH COLUMBIA,Not Detected,0
48.43183,-123.51248,Gypsy Moth,2017,COLWOOD,BRITISH COLUMBIA,Not Detected,0
48.43277,-123.49106,Gypsy Moth,2017,COLWOOD,BRITISH COLUMBIA,Not Detected,0
48.43281,-123.53488,Gypsy Moth,2017,LANGFORD,BRITISH COLUMBIA,Not Detected,0
48.43378,-123.45464,Gypsy Moth,2017,COLWOOD,BRITISH COLUMBIA,Not Detected,0
48.43541,-123.30582,Gypsy Moth,2017,OAK BAY,BRITISH COLUMBIA,Not Detected,0
48.43584,-123.32855,Gypsy Moth,2017,VICTORIA,BRITISH COLUMBIA,Not Detected,0
48.43641,-123.35104,Gypsy Moth,2017,VICTORIA,BRITISH COLUMBIA,Not Detected,0
48.43715,-123.37303,Gypsy Moth,2017,VICTORIA,BRITISH COLUMBIA,Not Detected,0
48.43805,-123.39566,Gypsy Moth,2017,ESQUIMALT,BRITISH COLUMBIA,Not Detected,0
48.43823,-123.41698,Gypsy Moth,2017,ESQUIMALT,BRITISH COLUMBIA,Not Detected,0
48.43903,-124.08781,Gypsy Moth,2017,CAPITAL REGIONAL DISTRICT,BRITISH COLUMBIA,Not Detected,0
48.43927,-123.43056,Gypsy Moth,2017,ESQUIMALT,BRITISH COLUMBIA,Not Detected,0
48.44456,-123.46677,Gypsy Moth,2017,COLWOOD,BRITISH COLUMBIA,Not Detected,0
48.44625,-123.48942,Gypsy Moth,2017,LANGFORD,BRITISH COLUMBIA,Not Detected,0
48.44632,-123.53231,Gypsy Moth,2017,LANGFORD,BRITISH COLUMBIA,Not Detected,0
48.44638,-123.5107,Gypsy Moth,2017,LANGFORD,BRITISH COLUMBIA,Not Detected,0
48.4471,-123.451,Gypsy Moth,2017,COLWOOD,BRITISH COLUMBIA,Not Detected,0
48.44777,-123.55472,Gypsy Moth,2017,LANGFORD,BRITISH COLUMBIA,Not Detected,0
48.45004,-123.30405,Gypsy Moth,2017,OAK BAY,BRITISH COLUMBIA,Not Detected,0
48.45024,-123.35013,Gypsy Moth,2017,VICTORIA,BRITISH COLUMBIA,Not Detected,0
48.45055,-123.32756,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.45104,-123.27949,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.45127,-123.37296,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.45222,-123.39579,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.45248,-123.41685,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.45399,-124.15341,Gypsy Moth,2017,CAPITAL REGIONAL DISTRICT,BRITISH COLUMBIA,Not Detected,0
48.45709,-123.51766,Gypsy Moth,2017,LANGFORD,BRITISH COLUMBIA,Not Detected,0
48.4587,-123.5106,Gypsy Moth,2017,LANGFORD,BRITISH COLUMBIA,Not Detected,0
48.46038,-123.44729,Gypsy Moth,2017,VIEW ROYAL,BRITISH COLUMBIA,Not Detected,0
48.46137,-123.55085,Gypsy Moth,2017,LANGFORD,BRITISH COLUMBIA,Not Detected,0
48.46185,-123.46679,Gypsy Moth,2017,VIEW ROYAL,BRITISH COLUMBIA,Not Detected,0
48.46257,-123.50564,Gypsy Moth,2017,LANGFORD,BRITISH COLUMBIA,Not Detected,0
48.46265,-123.51794,Gypsy Moth,2017,LANGFORD,BRITISH COLUMBIA,Not Detected,0
48.463,-123.49068,Gypsy Moth,2017,LANGFORD,BRITISH COLUMBIA,Not Detected,0
48.46311,-123.51079,Gypsy Moth,2017,LANGFORD,BRITISH COLUMBIA,Not Detected,0
48.46349,-123.42752,Gypsy Moth,2017,VIEW ROYAL,BRITISH COLUMBIA,Not Detected,0
48.46375,-123.28275,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.46393,-123.53194,Gypsy Moth,2017,LANGFORD,BRITISH COLUMBIA,Not Detected,0
48.46436,-123.522,Gypsy Moth,2017,LANGFORD,BRITISH COLUMBIA,Not Detected,0
48.4654,-123.51801,Gypsy Moth,2017,LANGFORD,BRITISH COLUMBIA,Not Detected,0
48.46561,-123.30498,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.46579,-123.32833,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.46667,-123.37036,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.46691,-123.52952,Gypsy Moth,2017,LANGFORD,BRITISH COLUMBIA,Not Detected,0
48.46693,-124.2155,Gypsy Moth,2017,CAPITAL REGIONAL DISTRICT,BRITISH COLUMBIA,Not Detected,0
48.46694,-123.49815,Gypsy Moth,2017,LANGFORD,BRITISH COLUMBIA,Not Detected,0
48.46758,-123.4162,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.46766,-123.505,Gypsy Moth,2017,LANGFORD,BRITISH COLUMBIA,Not Detected,0
48.46774,-123.52509,Gypsy Moth,2017,LANGFORD,BRITISH COLUMBIA,Not Detected,0
48.46774,-123.39458,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.46777,-123.53718,Gypsy Moth,2017,LANGFORD,BRITISH COLUMBIA,Not Detected,0
48.46863,-123.51208,Gypsy Moth,2017,LANGFORD,BRITISH COLUMBIA,Not Detected,0
48.47205,-123.53218,Gypsy Moth,2017,LANGFORD,BRITISH COLUMBIA,Not Detected,0
48.47247,-123.52448,Gypsy Moth,2017,LANGFORD,BRITISH COLUMBIA,Not Detected,0
48.47251,-123.51183,Gypsy Moth,2017,LANGFORD,BRITISH COLUMBIA,Not Detected,0
48.47252,-123.49979,Gypsy Moth,2017,LANGFORD,BRITISH COLUMBIA,Not Detected,0
48.47256,-123.51764,Gypsy Moth,2017,LANGFORD,BRITISH COLUMBIA,Not Detected,0
48.47268,-123.53851,Gypsy Moth,2017,LANGFORD,BRITISH COLUMBIA,Not Detected,0
48.47286,-123.50692,Gypsy Moth,2017,LANGFORD,BRITISH COLUMBIA,Not Detected,0
48.47294,-123.55052,Gypsy Moth,2017,LANGFORD,BRITISH COLUMBIA,Not Detected,0
48.47535,-123.49865,Gypsy Moth,2017,LANGFORD,BRITISH COLUMBIA,Not Detected,0
48.47598,-123.46488,Gypsy Moth,2017,HIGHLANDS,BRITISH COLUMBIA,Not Detected,0
48.47635,-123.5312,Gypsy Moth,2017,LANGFORD,BRITISH COLUMBIA,Not Detected,0
48.47687,-123.5036,Gypsy Moth,2017,LANGFORD,BRITISH COLUMBIA,Not Detected,0
48.47695,-123.52484,Gypsy Moth,2017,LANGFORD,BRITISH COLUMBIA,Not Detected,0
48.47704,-123.51643,Gypsy Moth,2017,LANGFORD,BRITISH COLUMBIA,Not Detected,0
48.47712,-123.44633,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.47718,-123.53641,Gypsy Moth,2017,LANGFORD,BRITISH COLUMBIA,Not Detected,0
48.47718,-123.42149,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.47743,-123.51122,Gypsy Moth,2017,LANGFORD,BRITISH COLUMBIA,Not Detected,0
48.48085,-123.3045,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.48088,-123.51092,Gypsy Moth,2017,LANGFORD,BRITISH COLUMBIA,Not Detected,0
48.48102,-123.32658,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.48209,-123.34608,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.48211,-123.37164,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.48214,-123.5252,Gypsy Moth,2017,LANGFORD,BRITISH COLUMBIA,Not Detected,0
48.48253,-123.51678,Gypsy Moth,2017,LANGFORD,BRITISH COLUMBIA,Not Detected,0
48.48301,-123.53033,Gypsy Moth,2017,LANGFORD,BRITISH COLUMBIA,Not Detected,0
48.48322,-123.39456,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.48368,-123.41354,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.48552,-123.51025,Gypsy Moth,2017,LANGFORD,BRITISH COLUMBIA,Not Detected,0
48.48649,-123.5251,Gypsy Moth,2017,LANGFORD,BRITISH COLUMBIA,Not Detected,0
48.48758,-124.26693,Gypsy Moth,2017,CAPITAL REGIONAL DISTRICT,BRITISH COLUMBIA,Not Detected,0
48.48796,-123.51719,Gypsy Moth,2017,LANGFORD,BRITISH COLUMBIA,Not Detected,0
48.48903,-123.48286,Gypsy Moth,2017,HIGHLANDS,BRITISH COLUMBIA,Not Detected,0
48.49152,-123.42124,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.4924,-123.51058,Gypsy Moth,2017,HIGHLANDS,BRITISH COLUMBIA,Not Detected,0
48.49247,-123.53426,Gypsy Moth,2017,HIGHLANDS,BRITISH COLUMBIA,Not Detected,0
48.49251,-123.44433,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.49355,-123.55471,Gypsy Moth,2017,CAPITAL REGIONAL DISTRICT,BRITISH COLUMBIA,Not Detected,0
48.49443,-123.32883,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.49453,-123.30706,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.49568,-123.34476,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.49614,-123.46344,Gypsy Moth,2017,HIGHLANDS,BRITISH COLUMBIA,Not Detected,0
48.49704,-123.37149,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.49726,-123.39453,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.49912,-123.4417,Gypsy Moth,2017,HIGHLANDS,BRITISH COLUMBIA,Not Detected,0
48.50006,-123.41358,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.50053,-123.45274,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.50074,-123.42692,Gypsy Moth,2017,HIGHLANDS,BRITISH COLUMBIA,Not Detected,0
48.50339,-124.28561,Gypsy Moth,2017,CAPITAL REGIONAL DISTRICT,BRITISH COLUMBIA,Not Detected,0
48.50589,-123.46603,Gypsy Moth,2017,HIGHLANDS,BRITISH COLUMBIA,Not Detected,0
48.50673,-123.38412,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.50748,-123.36124,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.50772,-123.42715,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.50788,-123.40068,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.50833,-123.41615,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.51334,-123.46513,Gypsy Moth,2017,HIGHLANDS,BRITISH COLUMBIA,Not Detected,0
48.51498,-123.45473,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.51587,-123.42808,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.51692,-123.41572,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.52056,-123.36712,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.5211,-123.38309,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.52124,-124.33613,Gypsy Moth,2017,CAPITAL REGIONAL DISTRICT,BRITISH COLUMBIA,Not Detected,0
48.52181,-123.45039,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.52213,-123.40266,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.52387,-123.43923,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.52513,-123.42809,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.52878,-123.41074,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.53234,-123.41411,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.53246,-123.41943,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.5327,-123.40995,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.53308,-124.44503,Gypsy Moth,2017,CAPITAL REGIONAL DISTRICT,BRITISH COLUMBIA,Not Detected,0
48.53316,-123.38371,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.53326,-123.38853,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.53332,-123.43811,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.53416,-123.42546,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.53469,-123.36647,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.53473,-123.45254,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.53546,-123.41537,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.53553,-123.42322,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.53566,-123.4109,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.53566,-123.3886,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.53567,-123.40403,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.53569,-123.41967,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.53608,-123.38499,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.5363,-123.39364,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.53632,-123.39779,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.5364,-123.40199,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.5373,-123.40912,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.53806,-123.41879,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.53824,-123.42287,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.5384,-123.42602,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.53865,-123.41596,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.53872,-123.41206,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.53875,-123.38387,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.53876,-123.39424,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.53897,-123.40356,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.53904,-123.38914,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.53957,-123.40721,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.53969,-123.39808,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.54075,-123.42747,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.54081,-123.42118,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.54094,-123.38176,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.54105,-123.42572,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.54107,-123.46214,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.54116,-123.41647,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.54134,-123.407,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.54138,-123.38559,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.5414,-123.38825,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.54144,-123.40179,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.54157,-123.39913,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.54202,-123.41088,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.54203,-123.39446,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.54347,-123.37947,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.54353,-123.39442,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.54369,-123.39008,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.54375,-123.4188,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.54377,-123.42389,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.54389,-123.41164,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.5439,-123.41416,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.54417,-123.40188,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.54429,-123.42859,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.5443,-123.39928,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.54445,-123.44481,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.54477,-123.38451,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.5449,-123.40579,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.54595,-123.40851,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.54619,-123.40547,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.54646,-123.42826,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.54653,-123.42374,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.54668,-123.41496,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.5467,-123.38993,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.54696,-123.39839,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.54701,-123.41985,Gypsy Moth,2017,CENTRAL SAANICH,BRITISH COLUMBIA,Not Detected,0
48.54708,-123.39465,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.54765,-123.38518,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
48.54772,-123.48077,Gypsy Moth,2017,SAANICH,BRITISH COLUMBIA,Not Detected,0
